哈密瓜 52 香瓜_甜瓜 72 40
黄瓜 21 新鲜蔬菜 639 10
菊苣 199 苁蓉 332 13
膏蟹 10 青蟹 12 10
萝卜 184 新鲜蔬菜 639 27
鱿鱼 61 海鲜 1141 20
河蟹 120 螃蟹 124 81
河蟹 120 大闸蟹 114 97
鲜肉 105 牛肉 715 19
鲜肉 105 牛排 583 23
鲜肉 105 猪排 193 16
鲜肉 105 猪肉 366 42
圣女果 89 其它水果 605 15
圣女果 89 新鲜蔬菜 639 56
圣女果 89 柿子 79 30
圣女果 89 西红柿 47 10
橙子 753 虾类 1452 22
橙子 753 牛肉 715 13
橙子 753 桔子_橘子 581 154
橙子 753 其它水果 605 120
橙子 753 生鲜食品 633 10
橙子 753 鱼类 799 16
橙子 753 猪肉 366 11
橙子 753 新鲜蔬菜 639 10
橙子 753 鸡肉 1106 12
橙子 753 榴莲 457 10
橙子 753 芒果 699 12
橙子 753 苹果 529 10
橙子 753 蛋类 664 13
橙子 753 羊肉 689 12
橙子 753 包装 479 10
橙子 753 鸡蛋 662 12
橙子 753 海鲜 1141 20
玉米 283 生鲜食品 633 11
玉米 283 新鲜蔬菜 639 41
草莓 283 鱼类 799 10
生蚝 211 鲍鱼 93 39
生蚝 211 海鲜 1141 113
生蚝 211 贝类 243 153
鸡排 467 虾类 1452 17
鸡排 467 鸽子肉 49 16
鸡排 467 生鲜食品 633 169
鸡排 467 鸡肉 1106 225
鸡排 467 包装 479 61
鸡排 467 海鲜 1141 13
鸡排 467 鸡翅 652 173
鸡爪 39 鸡肉 1106 11
鸭肉 207 鸭舌 81 70
虾类 1452 牛肉 715 23
虾类 1452 桔子_橘子 581 21
虾类 1452 其它水果 605 13
虾类 1452 龙虾 328 125
虾类 1452 生鲜食品 633 19
虾类 1452 牛排 583 13
虾类 1452 鱼类 799 21
虾类 1452 新鲜蔬菜 639 15
虾类 1452 奇异果_猕猴桃 591 21
虾类 1452 百香果 447 12
虾类 1452 鸡肉 1106 30
虾类 1452 芒果 699 15
虾类 1452 苹果 529 16
虾类 1452 蛋类 664 16
虾类 1452 羊肉 689 17
虾类 1452 包装 479 13
虾类 1452 樱桃 426 17
虾类 1452 肠 557 21
虾类 1452 鸡蛋 662 23
虾类 1452 海鲜 1141 526
虾类 1452 鸡翅 652 23
牛肉 715 桔子_橘子 581 11
牛肉 715 生鲜食品 633 28
牛肉 715 牛排 583 172
牛肉 715 鱼类 799 13
